sample_id,path_key,base_variant,source_variant,direction,ratio,top1,boundary_flip
apps_python_23,query_tool_path,corrupt_full,clean_full,tool,0.8185714285714286,True,True
apps_python_23,schema_tool_path,clean_no_schema,clean_full,tool,0.003125,True,True
apps_python_23,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.40839285714285717,True,True
apps_python_23,schema_tool_path,clean_no_protocol,clean_full,tool,4.467142857142857,True,True
apps_python_23,no_tool_path,clean_full,corrupt_full,no_tool,0.8502747252747253,True,True
codecontests_cpp_23,query_tool_path,corrupt_full,clean_full,tool,0.8776041666666666,False,True
codecontests_cpp_23,schema_tool_path,clean_no_schema,clean_full,tool,0.7847222222222222,True,True
codecontests_cpp_23,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.1148003472222223,True,True
codecontests_cpp_23,schema_tool_path,clean_no_protocol,clean_full,tool,1.7278645833333333,True,True
codecontests_cpp_23,no_tool_path,clean_full,corrupt_full,no_tool,0.9069293478260869,True,True
codecontests_java_23,query_tool_path,corrupt_full,clean_full,tool,0.9402056277056277,True,True
codecontests_java_23,schema_tool_path,clean_no_schema,clean_full,tool,1.5784632034632036,True,True
codecontests_java_23,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.9791666666666666,True,True
codecontests_java_23,schema_tool_path,clean_no_protocol,clean_full,tool,2.2375541125541125,True,True
codecontests_java_23,no_tool_path,clean_full,corrupt_full,no_tool,0.80875,False,False
codecontests_cpp_24,query_tool_path,corrupt_full,clean_full,tool,0.7667682926829268,False,False
codecontests_cpp_24,schema_tool_path,clean_no_schema,clean_full,tool,1.3780487804878048,True,True
codecontests_cpp_24,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.5718368902439024,True,True
codecontests_cpp_24,schema_tool_path,clean_no_protocol,clean_full,tool,2.8780487804878048,False,False
codecontests_cpp_24,no_tool_path,clean_full,corrupt_full,no_tool,0.8536036036036037,True,True
codecontests_java_24,query_tool_path,corrupt_full,clean_full,tool,0.7266949152542372,False,False
codecontests_java_24,schema_tool_path,clean_no_schema,clean_full,tool,0.7115995762711864,True,True
codecontests_java_24,schema_tool_path,clean_schema_mismatch,clean_full,tool,0.3473252118644068,True,True
codecontests_java_24,schema_tool_path,clean_no_protocol,clean_full,tool,2.5720338983050848,False,False
codecontests_java_24,no_tool_path,clean_full,corrupt_full,no_tool,0.8462343096234309,True,True
apps_python_25,query_tool_path,corrupt_full,clean_full,tool,0.65625,False,False
apps_python_25,schema_tool_path,clean_no_schema,clean_full,tool,0.011614118303571428,True,True
apps_python_25,schema_tool_path,clean_schema_mismatch,clean_full,tool,1.0841238839285714,True,True
apps_python_25,schema_tool_path,clean_no_protocol,clean_full,tool,1.9441964285714286,False,False
apps_python_25,no_tool_path,clean_full,corrupt_full,no_tool,0.6666666666666666,False,False
codecontests_java_25,query_tool_path,corrupt_full,clean_full,tool,0.9856370192307692,True,True
codecontests_java_25,schema_tool_path,clean_no_schema,clean_full,tool,0.6788461538461539,True,True
