sample_id,stage,tool_token_delta,distractor_delta
codecontests_java_84,resid_post,0.09375,-0.08984375
humaneval_python_84,resid_mid,-0.09375,-0.0078125
humaneval_python_84,resid_post,-0.0625,-0.1796875
apps_python_85,resid_mid,-0.15625,0.68115234375
apps_python_85,resid_post,-0.1875,0.1640625
codecontests_cpp_85,resid_mid,-0.125,0.0234375
codecontests_cpp_85,resid_post,-0.15625,0.0302734375
codecontests_java_85,resid_mid,0.09375,0.2412109375
codecontests_java_85,resid_post,-0.0625,-0.052734375
humaneval_python_85,resid_mid,0.0,0.42041015625
humaneval_python_85,resid_post,0.0,0.14453125
apps_python_86,resid_mid,-0.09375,0.498046875
apps_python_86,resid_post,0.03125,0.109375
codecontests_java_86,resid_mid,0.0625,0.115234375
codecontests_java_86,resid_post,0.0625,-0.052734375
apps_python_87,resid_mid,-0.03125,0.3212890625
apps_python_87,resid_post,0.125,0.07421875
codecontests_cpp_87,resid_mid,-0.03125,0.162109375
codecontests_cpp_87,resid_post,-0.03125,0.14453125
codecontests_java_87,resid_mid,0.0625,0.013671875
codecontests_java_87,resid_post,-0.03125,0.04296875
apps_python_88,resid_mid,0.0625,0.375
apps_python_88,resid_post,0.0,0.23828125
codecontests_java_88,resid_mid,0.125,0.036376953125
codecontests_java_88,resid_post,0.0625,0.28515625
codecontests_cpp_89,resid_mid,0.09375,0.177734375
codecontests_cpp_89,resid_post,0.0625,0.09375
codecontests_java_89,resid_mid,0.09375,0.0670166015625
codecontests_java_89,resid_post,0.03125,0.19921875
codecontests_java_90,resid_mid,0.125,0.16064453125
codecontests_java_90,resid_post,-0.09375,0.4130859375
apps_python_91,resid_mid,-0.0625,0.1044921875
apps_python_91,resid_post,-0.03125,-0.078125
codecontests_cpp_91,resid_mid,-0.03125,-0.117919921875
codecontests_cpp_91,resid_post,-0.125,-0.11328125
codecontests_java_91,resid_mid,-0.0625,0.128173828125
codecontests_java_91,resid_post,0.0,0.06640625
apps_python_92,resid_mid,-0.09375,0.34130859375
apps_python_92,resid_post,-0.0625,0.2578125
codecontests_java_92,resid_mid,-0.09375,0.1494140625
codecontests_java_92,resid_post,0.0,-0.00390625
apps_python_93,resid_mid,-0.0625,0.396484375
apps_python_93,resid_post,-0.0625,0.0234375
codecontests_cpp_93,resid_mid,0.03125,0.2890625
codecontests_cpp_93,resid_post,-0.03125,0.2216796875
codecontests_java_93,resid_mid,0.09375,-0.03857421875
codecontests_java_93,resid_post,0.03125,0.013671875
apps_python_94,resid_mid,-0.125,-0.166015625
apps_python_94,resid_post,-0.1875,0.09375
codecontests_cpp_94,resid_mid,0.0,0.11083984375
codecontests_cpp_94,resid_post,-0.03125,0.205078125
codecontests_java_94,resid_mid,-0.03125,0.0087890625
codecontests_java_94,resid_post,-0.09375,0.076171875
apps_python_95,resid_mid,-0.125,0.54296875
apps_python_95,resid_post,-0.0625,0.0625
