sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
apps_python_44,107,,3.875,1.0,1.0,0.9354838709677419,0.967741935483871,2,12,16
codecontests_cpp_44,108,,6.75,1.0185185185185186,1.0,0.9259259259259259,0.8888888888888888,1,11,16
codecontests_java_44,109,,11.4375,0.9344262295081968,0.9344262295081968,0.9453551912568307,0.9508196721311475,0,10,16
humaneval_python_44,110,,7.25,1.0172413793103448,1.0344827586206897,0.9310344827586207,0.9655172413793104,0,10,16
codecontests_cpp_45,111,,7.125,1.0350877192982457,1.0526315789473684,1.0350877192982457,1.0526315789473684,0,10,16
codecontests_java_45,112,,17.0625,0.9926739926739927,1.0036630036630036,0.9853479853479854,1.0036630036630036,0,10,16
apps_python_46,113,,7.125,1.0526315789473684,1.0350877192982457,1.0175438596491229,1.0350877192982457,1,11,16
codecontests_cpp_46,114,,10.75,0.9302325581395349,0.9418604651162791,0.9651162790697675,0.9651162790697675,0,10,16
codecontests_java_46,115,,19.3125,0.948220064724919,0.9514563106796117,0.948220064724919,0.9352750809061489,0,10,16
apps_python_47,116,,6.125,0.9795918367346939,1.0408163265306123,0.9591836734693877,1.0204081632653061,1,11,16
codecontests_cpp_47,117,,4.5,1.1388888888888888,1.0833333333333333,1.0,1.0,0,10,16
codecontests_java_47,118,,16.8125,0.9776951672862454,0.9405204460966543,0.9330855018587361,0.9070631970260223,0,10,16
humaneval_python_47,119,,8.5,0.9558823529411765,1.0147058823529411,0.9117647058823529,1.0,1,11,16
apps_python_48,120,,8.625,0.9710144927536232,1.0,1.0289855072463767,1.0289855072463767,3,13,16
codecontests_cpp_48,121,,8.25,0.9393939393939394,1.0,0.9242424242424242,0.9696969696969697,0,10,16
codecontests_java_48,122,,15.875,0.952755905511811,0.9448818897637795,0.968503937007874,0.937007874015748,0,10,16
apps_python_49,123,,5.125,1.024390243902439,1.024390243902439,1.0731707317073171,1.0731707317073171,2,12,16
codecontests_cpp_49,124,,7.25,0.9655172413793104,1.0,0.9310344827586207,1.0,0,10,16
codecontests_java_49,125,,14.6875,0.9744680851063829,0.8978723404255319,0.9574468085106383,0.9148936170212766,0,10,16
codecontests_cpp_50,126,,7.25,0.9310344827586207,0.9482758620689655,0.9137931034482759,0.9137931034482759,0,10,16
codecontests_java_50,127,,9.75,1.0128205128205128,1.0,1.0128205128205128,1.0128205128205128,0,10,16
apps_python_51,128,,6.625,1.0,1.0377358490566038,0.9056603773584906,0.9622641509433962,1,11,16
codecontests_java_51,129,,16.0,0.9609375,0.9296875,0.96875,0.921875,0,10,16
codecontests_cpp_52,130,,5.625,1.0666666666666667,1.0888888888888888,1.0,1.0666666666666667,0,10,16
codecontests_java_52,131,,10.75,0.9534883720930233,0.9186046511627907,0.9534883720930233,0.9767441860465116,0,10,16
apps_python_53,132,,8.25,0.9848484848484849,1.0606060606060606,1.0303030303030303,1.0909090909090908,1,11,16
codecontests_cpp_53,133,,6.125,0.8979591836734694,0.8775510204081632,0.8979591836734694,0.8775510204081632,0,10,16
codecontests_java_53,134,,10.875,0.8735632183908046,0.8620689655172413,0.8735632183908046,0.8620689655172413,0,10,16
apps_python_54,135,,5.75,1.108695652173913,1.108695652173913,1.0869565217391304,1.0869565217391304,0,10,16
codecontests_java_54,136,,9.875,0.9367088607594937,0.8607594936708861,0.9240506329113924,0.8354430379746836,0,10,16
mbpp_python_54,137,,6.375,1.0588235294117647,1.0980392156862746,1.0,1.0588235294117647,0,10,16
codecontests_java_55,138,,11.5,1.0543478260869565,1.0869565217391304,1.065217391304348,1.076086956521739,0,10,16
mbpp_python_55,139,,7.0,1.0892857142857142,1.1428571428571428,1.1428571428571428,1.1785714285714286,3,13,16
codecontests_cpp_56,140,,8.5,0.9852941176470589,1.0,1.0,1.0294117647058822,0,10,16
codecontests_java_56,141,,15.75,1.0317460317460319,1.0952380952380953,1.0396825396825398,1.1031746031746033,0,10,16
codecontests_cpp_57,142,,9.25,0.9864864864864865,1.027027027027027,0.9324324324324325,0.9594594594594594,0,10,16
codecontests_java_57,143,,17.25,0.9782608695652174,0.9710144927536232,0.9855072463768116,1.0072463768115942,0,10,16
apps_python_58,144,,5.375,1.1162790697674418,1.1627906976744187,1.0232558139534884,1.1162790697674418,1,11,16
