sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
codecontests_java_23,clean_no_schema,1,L21H12,1.3225108225108224,False,False
codecontests_java_23,clean_no_schema,2,MLP27,1.5784632034632036,True,True
codecontests_java_23,clean_schema_mismatch,1,L21H12,0.9556277056277056,True,True
codecontests_java_23,clean_schema_mismatch,2,MLP27,0.9791666666666666,True,True
codecontests_java_23,clean_no_protocol,1,L21H12,1.725108225108225,False,False
codecontests_java_23,clean_no_protocol,2,MLP27,2.2375541125541125,True,True
codecontests_cpp_24,clean_no_schema,1,L21H12,1.086890243902439,False,False
codecontests_cpp_24,clean_no_schema,2,MLP27,1.3780487804878048,True,True
codecontests_cpp_24,clean_schema_mismatch,1,L21H12,0.49809451219512196,True,True
codecontests_cpp_24,clean_schema_mismatch,2,MLP27,0.5718368902439024,True,True
codecontests_cpp_24,clean_no_protocol,1,L21H12,1.6341463414634145,False,False
codecontests_cpp_24,clean_no_protocol,2,MLP27,2.8780487804878048,False,False
codecontests_java_24,clean_no_schema,1,L21H12,0.6016949152542372,False,False
codecontests_java_24,clean_no_schema,2,MLP27,0.7115995762711864,True,True
codecontests_java_24,clean_schema_mismatch,1,L21H12,0.3135593220338983,True,True
codecontests_java_24,clean_schema_mismatch,2,MLP27,0.3473252118644068,True,True
codecontests_java_24,clean_no_protocol,1,L21H12,1.4406779661016949,False,False
codecontests_java_24,clean_no_protocol,2,MLP27,2.5720338983050848,False,False
apps_python_25,clean_no_schema,1,L21H12,0.0035574776785714285,True,True
apps_python_25,clean_no_schema,2,MLP27,0.011614118303571428,True,True
apps_python_25,clean_schema_mismatch,1,L21H12,0.9748883928571429,False,True
apps_python_25,clean_schema_mismatch,2,MLP27,1.0841238839285714,True,True
apps_python_25,clean_no_protocol,1,L21H12,1.3392857142857142,False,False
apps_python_25,clean_no_protocol,2,MLP27,1.9441964285714286,False,False
codecontests_java_25,clean_no_schema,1,L21H12,0.6100961538461539,True,True
codecontests_java_25,clean_no_schema,2,MLP27,0.6788461538461539,True,True
codecontests_java_25,clean_schema_mismatch,1,L21H12,0.19639423076923077,True,True
codecontests_java_25,clean_schema_mismatch,2,MLP27,0.22078575721153845,True,True
codecontests_java_25,clean_no_protocol,1,L21H12,2.576923076923077,False,False
codecontests_java_25,clean_no_protocol,2,MLP27,3.7759615384615386,True,True
